entry,part_of_speech,korean_meaning,example_sentence
essence,n.,"본질, 정수",Trust is the essence of a good relationship.
establish,v.,"설립하다, 확립하다",The company was established in 1995.
establishment,n.,"설립, 기관",The restaurant is a well-known local establishment.
estate,n.,"재산, 부동산",He inherited a large estate from his uncle.
ethical,adj.,윤리적인,We need to make more ethical business decisions.
ethnic,adj.,"민족의, 인종의",The city is known for its ethnic diversity.
evaluate,v.,평가하다,They evaluated several proposals before deciding.
evaluation,n.,"평가, 판단",The final evaluation will be done next week.
evoke,v.,불러일으키다,The scene evoked memories of childhood.
evolution,n.,"진화, 발전",Language evolution takes centuries.
evolve,v.,"진화하다, 발전하다",Technology continues to evolve rapidly.
exaggerate,v.,과장하다,He tends to exaggerate his achievements.
exceed,v.,"초과하다, 능가하다",The total cost exceeded our expectations.
excellence,n.,탁월함,The school promotes academic excellence.
exceptional,adj.,"뛰어난, 예외적인",She has exceptional communication skills.
excessive,adj.,과도한,Excessive noise can damage your hearing.
exclude,v.,제외하다,They excluded late submissions from the results.
exclusion,n.,"제외, 배제",Social exclusion is a major issue in cities.
exclusive,adj.,"독점적인, 배타적인",This club has an exclusive membership policy.
exclusively,adv.,"오로지, 독점적으로",The event is exclusively for members.
execute,v.,"실행하다, 처형하다",The team executed the plan perfectly.
execution,n.,"실행, 집행",The project’s execution took two months.
executive,"n., adj.",임원; 행정의,She was promoted to an executive position.
exotic,adj.,이국적인,They tried some exotic dishes in Thailand.
expand,v.,"확장하다, 넓히다",The company plans to expand into new markets.
expansion,n.,"확장, 팽창",The city’s rapid expansion caused housing shortages.
expectation,n.,"기대, 예상",The results met everyone’s expectations.
expedition,n.,"탐험, 원정",They went on an expedition to the Arctic.
expertise,n.,"전문 지식, 기술",Her expertise in AI is widely recognized.
expire,v.,만료되다,My passport will expire next month.
explicit,adj.,"명확한, 노골적인",He gave explicit instructions to his team.
explicitly,adv.,명시적으로,The rules explicitly prohibit smoking inside.
exploit,v.,"이용하다, 착취하다",Some companies exploit cheap labor abroad.
exploration,n.,"탐험, 탐사",Space exploration has advanced greatly.
explosive,"adj., n.",폭발성의; 폭약,An explosive device was found in the car.
expose,v.,"드러내다, 폭로하다",The article exposed the truth behind the scandal.
exposure,n.,"노출, 폭로",Too much sun exposure can harm your skin.
extend,v.,"연장하다, 확장하다",They decided to extend the deadline.
extension,n.,"연장, 확장",You can request an extension of your visa.
extensive,adj.,광범위한,The research involved extensive data analysis.
extent,n.,"정도, 범위",The full extent of the damage is still unknown.
extract,"v., n.",추출하다; 발췌,They extracted gold from the riverbed.
extraordinary,adj.,"비범한, 특별한",She made an extraordinary recovery.
extravagant,adj.,"사치스러운, 과도한",They held an extravagant wedding ceremony.
eye,v.,주시하다,The investor is eyeing opportunities in Asia.
faction,n.,"파벌, 분파",The ruling faction lost influence in the election.
fade,v.,"희미해지다, 사라지다",The colors faded after years of sunlight exposure.
fairness,n.,"공정함, 정직함",We need to ensure fairness in grading.
fake,"adj., n.",가짜의; 가짜,He was caught with a fake passport.
fame,n.,"명성, 유명세",The singer achieved worldwide fame.
fantasy,n.,"환상, 공상",She lives in a world of fantasy.
farewell,n.,"작별, 송별",They organized a farewell party for their colleague.
fatal,adj.,치명적인,A fatal error caused the system to crash.
fate,n.,운명,He accepted his fate calmly.
favorable,adj.,"호의적인, 유리한",The proposal received favorable reviews.
feasible,adj.,실행 가능한,The plan is technically feasible.
feat,n.,"업적, 위업",Landing on the moon was an incredible feat.
federal,adj.,연방의,The issue will be handled by the federal government.
federation,n.,"연맹, 연합",The European Federation met to discuss policy changes.
feedback,n.,"피드백, 반응",We received valuable feedback from users.
feelings,n.,감정,He hurt her feelings without realizing it.
feminist,"adj., n.",페미니스트의; 페미니스트,She is a well-known feminist writer.
fever,n.,"열, 열기",He has a high fever and needs rest.
fierce,adj.,"사나운, 격렬한",There was fierce competition for the contract.
figure,v.,"생각하다, 판단하다",I figure we’ll arrive by noon.
filmmaker,n.,영화 제작자,The filmmaker won an award at Cannes.
filter,"n., v.",필터; 걸러내다,Use a coffee filter for a smoother taste.
finance,v.,자금을 대다,The project was financed by private investors.
financially,adv.,재정적으로,The company is doing well financially.
firearm,n.,총기,Carrying a firearm without a license is illegal.
firefighter,n.,소방관,Firefighters rescued the trapped residents.
fireplace,n.,벽난로,They sat near the fireplace on a cold night.
firework,n.,불꽃놀이,The sky lit up with colorful fireworks.
firmly,adv.,"단단히, 확고히",He held her hand firmly.
fiscal,adj.,"재정의, 회계의",The fiscal report will be published next week.
fixture,n.,"고정물, 설비",The new fixture gives better lighting.
flagship,n.,"대표, 주력",The company’s flagship store is in Seoul.
flame,n.,"불꽃, 불길",The candle’s flame flickered in the wind.
flash,"n., v.",섬광; 번쩍이다,The camera flashed when he took the photo.
flaw,n.,"결함, 흠",There’s a flaw in the system that needs fixing.
flawed,adj.,결함이 있는,The report was based on flawed data.
fleet,n.,"함대, 차량단",The navy sent out a large fleet of ships.
flexibility,n.,"유연성, 융통성",Flexibility is essential in remote work.
flourish,v.,"번창하다, 번성하다",The startup flourished after receiving funding.
fluid,"n., adj.",유체; 유동적인,Water and oil are different types of fluid.
fond,adj.,좋아하는,He’s very fond of his younger sister.
forecast,"n., v.",예보; 예측하다,The weather forecast says it’ll rain tomorrow.
foreigner,n.,외국인,Foreigners need a visa to work here.
forge,v.,위조하다; 구축하다,They forged strong partnerships with local firms.
forgive,v.,용서하다,It’s hard to forgive such a betrayal.
formally,adv.,공식적으로,He was formally introduced as the new CEO.
format,n.,"형식, 포맷",Please use the standard report format.
formation,n.,"형성, 구성",The formation of the committee was announced today.
former,adj.,이전의,She is a former Olympic champion.
formulate,v.,체계적으로 세우다,They formulated a detailed business strategy.
forth,adv.,"앞으로, 밖으로",He stepped forth to accept the award.
forum,n.,"토론회, 포럼",The online forum allows users to share opinions.
fossil,n.,화석,Scientists discovered a new dinosaur fossil.
foundation,n.,"기초, 재단",The foundation supports education projects.
founder,n.,창립자,He’s the founder of a successful startup.
fraction,n.,"부분, 소량",Only a small fraction of students passed the test.
fragile,adj.,"깨지기 쉬운, 연약한",Handle the fragile glass carefully.
fragment,n.,"조각, 파편",They found fragments of ancient pottery.
franchise,n.,"가맹점, 독점판매권",He opened a burger franchise downtown.
frankly,adv.,솔직히,"Frankly, I think it was a bad idea."
fraud,n.,"사기, 속임",He was arrested for credit card fraud.
freely,adv.,자유롭게,Citizens can speak freely under the law.
frequent,v.,자주 방문하다,He frequents the local café every morning.
frustrated,adj.,"좌절한, 짜증난",She felt frustrated by the lack of progress.
frustrating,adj.,"짜증나는, 불만스러운",The delay was very frustrating for everyone.
frustration,n.,"좌절, 불만",He expressed frustration over the situation.
fulfill,v.,"이행하다, 충족시키다",The company fulfilled all its obligations.
full-time,"adj., adv.","전임의, 전시간의",She works as a full-time teacher.
functionality,n.,기능성,The new app improves system functionality.
fundamentally,adv.,근본적으로,The two systems differ fundamentally.
fundraising,n.,모금 활동,They organized a fundraising event for charity.
funeral,n.,장례식,Hundreds attended the president’s funeral.
furious,adj.,"격노한, 맹렬한",She was furious when she heard the news.
fuss,n.,"호들갑, 소란",He made a big fuss about nothing.
gallery,n.,"미술관, 갤러리",We visited an art gallery downtown.
gamble,"v., n.",도박하다; 도박,He lost his savings gambling online.
gaming,n.,"게임, 도박",Online gaming has become a major industry.
gathering,n.,"모임, 집회",There was a small family gathering at home.
gaze,"v., n.",응시하다; 응시,She gazed out the window in silence.
gear,n.,"기어, 장비",Cyclists should wear proper safety gear.
gender,n.,성별,We should not discriminate based on gender.
genetic,adj.,"유전의, 유전적인",Genetic research has advanced rapidly.
genius,n.,천재,Einstein was a scientific genius.
genre,n.,"장르, 유형",I enjoy movies of every genre.
gentle,adj.,"온화한, 부드러운",He spoke in a gentle tone.
genuine,adj.,"진짜의, 진실된",Her kindness is genuine.
gesture,"n., v.",제스처; 몸짓하다,He made a rude gesture at the driver.
gig,n.,"공연, 임시직",The band’s next gig is in Tokyo.
glance,"v., n.",흘끗 보다; 흘끗 봄,She glanced at her phone during the meeting.
globalization,n.,세계화,Globalization has connected markets worldwide.
glory,n.,영광,They fought for the glory of their country.
govern,v.,"통치하다, 지배하다",The country is governed by a coalition party.
governance,n.,"통치, 관리",Good governance is key to national stability.
governing,adj.,"지배하는, 통치하는",The governing body announced new regulations.
grace,n.,"우아함, 은총",She accepted the award with grace.
graphic,"adj., n.",도표의; 그래픽,The report includes detailed graphics.
grateful,adj.,감사하는,I’m grateful for your help.
grave,"n., adj.",무덤; 심각한,He visited his grandfather’s grave.
gravity,n.,중력; 진지함,The astronaut experienced zero gravity.
greatly,adv.,"대단히, 크게",Your help is greatly appreciated.
greenhouse,n.,온실,Tomatoes grow well in a greenhouse.
grid,n.,"격자, 전력망",The city upgraded its power grid.
grief,n.,"슬픔, 비탄",She was overcome with grief after the loss.
grin,"v., n.",활짝 웃다; 웃음,He grinned when he saw his old friend.
grind,v.,"갈다, 분쇄하다",The machine grinds coffee beans into powder.
grip,"v., n.",잡다; 꽉 쥐기,He gripped the handle tightly.
gross,adj.,"총체적인, 역겨운",The company’s gross income increased last year.
guarantee,"v., n.",보장하다; 보증,The warranty guarantees free repair for one year.
guardian,n.,"보호자, 후견인",Her uncle became her legal guardian.
guidance,n.,"지도, 안내",We provide guidance for new employees.
guideline,n.,"지침, 가이드라인",Please follow the safety guidelines carefully.
guilt,n.,죄책감,He felt guilt after lying to his parents.
guilty,adj.,"유죄의, 죄책감이 있는",She was found guilty of theft.
gut,n.,"내장, 직감",Trust your gut when making decisions.
habitat,n.,서식지,Forests are the natural habitat of many animals.
hail,"v., n.",환영하다; 우박,The crowd hailed the hero as a legend.
halfway,adv.,중간에,We’re halfway through the semester.
halt,"v., n.",멈추다; 중단,The project came to a sudden halt.
handful,n.,"한 줌, 소수",Only a handful of people know the secret.
handling,n.,"처리, 다루기",Proper handling of chemicals is essential.
harassment,n.,"괴롭힘, 희롱",The company has strict rules against harassment.
harbor,"n., v.",항구; 숨기다,Ships are docked at the harbor.
hardware,n.,"하드웨어, 장비",Computer hardware has become cheaper.
harmful,adj.,해로운,Smoking is harmful to your health.
harmony,n.,"조화, 화합",They worked in perfect harmony on the project.
harsh,adj.,"가혹한, 거친",The desert environment is extremely harsh.
harvest,"n., v.",수확; 수확하다,Farmers began the rice harvest early this year.
hatred,n.,"증오, 혐오",Hatred only leads to more conflict.
haunt,v.,"괴롭히다, 출몰하다",Memories of the accident still haunt him.
hazard,n.,"위험, 유해물",Chemical hazards must be clearly labeled.
hazardous,adj.,"위험한, 유해한",Workers must wear helmets in hazardous areas.
headquarters,n.,"본부, 본사",The company’s headquarters is located in New York.
heal,v.,"치료하다, 낫게 하다",Time can heal emotional wounds.
healthcare,n.,"보건의료, 건강관리",Healthcare costs continue to rise worldwide.
heap,n.,"더미, 무더기",There was a heap of clothes on the floor.
heighten,v.,"높이다, 강화하다",The speech heightened public awareness of the issue.
helmet,n.,"헬멧, 보호모",Always wear a helmet when riding a bike.
heritage,n.,"유산, 전통",The castle is part of the country’s cultural heritage.
hierarchy,n.,"계층, 서열",The corporate hierarchy determines decision-making power.
highlight,"v., n.",강조하다; 하이라이트,The report highlights key trends in the industry.
highway,n.,고속도로,We drove down the coastal highway.
hilarious,adj.,아주 재미있는,The movie was absolutely hilarious.
hint,"n., v.",암시; 암시하다,He gave me a hint about the surprise.
hip,n.,"엉덩이, 허리",He put his hands on his hips and smiled.
historian,n.,역사가,The historian specializes in medieval Europe.
homeland,n.,"조국, 본국",They returned to their homeland after years abroad.
hook,"n., v.",갈고리; 걸다,Hang your coat on the hook by the door.
hopeful,adj.,"희망에 찬, 낙관적인",She remains hopeful about the future.
horizon,n.,"지평선, 시야",The sun disappeared below the horizon.
horn,n.,"뿔, 경적",The driver honked the horn impatiently.
horrible,adj.,끔찍한,"It was a horrible accident, but no one was hurt."
hostage,n.,인질,The police negotiated for the release of the hostages.
hostile,adj.,적대적인,The two countries remain hostile toward each other.
hostility,n.,"적의, 적대감",There was open hostility between the rival teams.
household,"n., adj.",가정; 가정의,Household expenses have increased recently.
housing,n.,"주택, 주거",Affordable housing is a key issue in cities.
hug,"v., n.",포옹하다; 포옹,They hugged each other tightly at the airport.
humanity,n.,"인류, 인간성",We must never lose our sense of humanity.
humble,adj.,"겸손한, 초라한",He gave a humble speech after winning the prize.
humorous,adj.,유머러스한,Her humorous remarks made everyone laugh.
hunger,n.,"배고픔, 굶주림",Millions still suffer from hunger worldwide.
hunt,"v., n.",사냥하다; 사냥,They went hunting in the forest.
hurricane,n.,허리케인,The hurricane caused severe flooding.
hypothesis,n.,가설,The scientist proposed a new hypothesis.
icon,n.,"상징, 아이콘",He’s an icon of modern pop culture.
identical,adj.,"똑같은, 동일한",The twins are nearly identical in appearance.
identification,n.,"신원 확인, 식별",You must show identification to enter the building.
ideological,adj.,이념적인,There are deep ideological divisions in the party.
ideology,n.,"이념, 사상",The movement was based on socialist ideology.
idiot,n.,"바보, 멍청이",He felt like an idiot for forgetting her birthday.
illusion,n.,"환상, 착각",Money can create the illusion of happiness.
illustrate,v.,"설명하다, 삽화를 넣다",This example illustrates how the process works.
imaginary,adj.,"상상의, 가상의",She has an imaginary friend named Lily.
imitate,v.,모방하다,Children often imitate their parents’ behavior.
immune,adj.,"면역의, 영향을 받지 않는","Once vaccinated, you become immune to the disease."
immunity,n.,"면역, 면책",He claimed diplomatic immunity from arrest.
impact,"v., n.",영향을 미치다; 영향,Climate change impacts all aspects of life.
impatient,adj.,"성급한, 참을성 없는",He was impatient while waiting in line.
implement,"v., n.",시행하다; 도구,The new law was implemented successfully.
implementation,n.,"이행, 실행",The implementation of the policy took months.
implication,n.,"함의, 영향",The policy change has serious implications.
imply,v.,"암시하다, 의미하다",His silence implied disagreement.
importantly,adv.,중요하게,"Importantly, this data confirms our hypothesis."
impose,v.,"부과하다, 강요하다",The government imposed new taxes on imports.
impress,v.,감동시키다,Her presentation impressed everyone.
impression,n.,"인상, 느낌",He made a good impression on his boss.
incentive,n.,"유인, 장려금",The company offers incentives for good performance.
incidentally,adv.,"부수적으로, 우연히","Incidentally, I met your brother yesterday."
inclined,adj.,~하는 경향이 있는,He’s inclined to take risks.
inclusion,n.,"포함, 통합",Social inclusion is vital for equality.
inclusive,adj.,"포괄적인, 포함하는",The price is inclusive of taxes.
incorporate,v.,"통합하다, 포함하다",We incorporated user feedback into the update.
incorrect,adj.,"틀린, 부정확한","The answer was incorrect, please try again."
incredible,adj.,"믿을 수 없는, 대단한",The view from the mountain was incredible.
incredibly,adv.,"믿을 수 없을 만큼, 굉장히",The movie was incredibly moving.
independence,n.,독립,The country celebrated 50 years of independence.
index,n.,"색인, 지수",Inflation is measured by a consumer price index.
indication,n.,"징후, 표시",Dark clouds are an indication of rain.
indicator,n.,"지표, 지시자",GDP is a key economic indicator.
indigenous,adj.,"토착의, 고유한",Indigenous cultures must be preserved.
induce,v.,"유도하다, 설득하다",Stress can induce health problems.
indulge,v.,"탐닉하다, 빠지다",She occasionally indulges in chocolate cake.
industrialize,v.,산업화하다,The country rapidly industrialized in the 20th century.
inequality,n.,불평등,Gender inequality remains a serious issue.
inevitable,adj.,"피할 수 없는, 필연적인",Change is inevitable in a growing company.
infant,"n., adj.",유아; 유아의,Infant care requires patience and attention.
infect,v.,감염시키다,The virus infected millions of people.
infer,v.,추론하다,"From his tone, we can infer that he’s upset."
inflation,n.,"물가 상승, 인플레이션",Inflation rates have reached a new high.
inflict,v.,(고통 등을) 가하다,The storm inflicted damage on several towns.
influential,adj.,영향력 있는,He is one of the most influential leaders today.
infrastructure,n.,"기반 시설, 인프라",The government invested in public infrastructure.
inhabitant,n.,"거주자, 주민",The city’s inhabitants enjoy a high quality of life.
inherit,v.,"상속하다, 물려받다",She inherited her father’s business.
inhibition,n.,"억제, 자제",Alcohol lowers social inhibitions.
initiate,v.,"시작하다, 개시하다",The organization initiated a new project.
initiative,n.,"계획, 진취성",He took the initiative to fix the problem.
inject,v.,"주입하다, 주사하다",The nurse injected the medicine into his arm.
injection,n.,"주사, 주입",He received a flu injection yesterday.
injured,adj.,부상한,Several people were injured in the accident.
innovation,n.,혁신,Innovation drives economic growth.
innovative,adj.,혁신적인,They developed an innovative AI solution.
input,n.,"투입, 입력",We value your input on this proposal.
inquire,v.,"묻다, 문의하다",He inquired about job opportunities.
inquiry,n.,"조사, 문의",The inquiry revealed important findings.
insane,adj.,"정신 이상인, 미친",That idea sounds completely insane.
insect,n.,곤충,Bees are essential insects for pollination.
insert,v.,삽입하다,Please insert your card into the slot.
insight,n.,통찰력,Her insight into the problem was impressive.
inspect,v.,"검사하다, 점검하다",Officials inspected the factory for safety violations.
inspection,n.,"검사, 점검",The building passed the safety inspection.
inspiration,n.,영감,Nature is her main source of inspiration.
install,v.,설치하다,We installed a new security system.
installation,n.,"설치, 설비",The installation process takes about two hours.
instant,"adj., n.",즉각적인; 순간,She felt instant relief after the treatment.
instinct,n.,"본능, 직감",Animals act on instinct when threatened.
institutional,adj.,"제도적인, 기관의",Institutional reform is necessary for progress.
instruct,v.,"지시하다, 가르치다",The coach instructed the players carefully.
instruction,n.,"지시, 설명",Follow the instructions on the label.
instrument,n.,"기구, 악기",He plays several musical instruments.
insufficient,adj.,불충분한,There’s insufficient evidence to support the claim.
insult,"v., n.",모욕하다; 모욕,He felt insulted by her comments.
insurance,n.,보험,You should get travel insurance before your trip.
intact,adj.,"온전한, 손상되지 않은",The ancient vase was found intact.
intake,n.,"섭취, 흡입",Reduce your daily intake of sugar.
integrate,v.,"통합하다, 융합하다",The app integrates several useful features.
integrated,adj.,통합된,They built an integrated system for logistics and sales.
integration,n.,"통합, 융합",Cultural integration enriches communities.
integrity,n.,"진실성, 청렴",He is known for his integrity and honesty.
intellectual,"adj., n.",지적인; 지식인,He enjoys intellectual debates about philosophy.
intelligent,adj.,"지적인, 영리한",Dolphins are considered intelligent animals.
intend,v.,의도하다,She intends to study abroad next year.
intense,adj.,"강렬한, 격렬한",The competition was intense this year.
intensity,n.,"강도, 세기",The intensity of the storm increased overnight.
interact,v.,상호작용하다,The children interact well with each other.
interaction,n.,"상호작용, 교류",Online interaction has increased during the pandemic.
interfere,v.,"간섭하다, 방해하다",Don’t interfere in their personal matters.
interference,n.,"간섭, 방해",Radio interference affected the signal.
interior,"n., adj.",내부; 내부의,The car’s interior design is very modern.
intermediate,"adj., n.",중급의; 중간 단계,She is taking an intermediate-level course.
internal,adj.,"내부의, 국내의",Internal communication needs improvement.
interpret,v.,"해석하다, 통역하다",Can you interpret this document for me?
interpretation,n.,"해석, 통역",Her interpretation of the poem was impressive.
interval,n.,"간격, 휴식",Take short intervals between exercises.
intervene,v.,"개입하다, 중재하다",The government decided to intervene in the dispute.
intervention,n.,"개입, 중재",Military intervention was avoided.
intimate,"adj., n.",친밀한; 절친한 친구,They have an intimate relationship.
intriguing,adj.,"흥미로운, 매력적인",The book’s plot is quite intriguing.
invade,v.,"침입하다, 침략하다",The army invaded the neighboring country.
invasion,n.,"침략, 침입",The invasion caused widespread panic.
invest,v.,투자하다,She invested heavily in real estate.
investigate,v.,조사하다,The police are investigating the case.
investigation,n.,"조사, 수사",A formal investigation has been launched.
investor,n.,투자자,Foreign investors showed interest in the project.
invisible,adj.,보이지 않는,The stars became invisible in the daylight.
invitation,n.,"초대, 초청장",I received an invitation to the conference.
involve,v.,"포함하다, 관련시키다",The job involves working weekends.
involvement,n.,"참여, 관련",His involvement in the project was crucial.
irrelevant,adj.,"무관한, 중요하지 않은",That comment is irrelevant to the discussion.
isolate,v.,"고립시키다, 격리하다",They isolated the infected patients immediately.
isolation,n.,"고립, 격리",The island remained in isolation for centuries.
issue,"v., n.",발행하다; 문제,The company issued a statement about the incident.
item,n.,"항목, 물품",Each item is carefully checked before shipping.
jail,"n., v.",감옥; 투옥하다,He was sent to jail for theft.
joint,"adj., n.",공동의; 관절,They made a joint announcement at the event.
journalism,n.,"언론, 저널리즘",She studied journalism at university.
journalist,n.,기자,The journalist interviewed the president.
judicial,adj.,"사법의, 재판의",The judicial system must remain impartial.
junior,"adj., n.",하급의; 후배,He is a junior developer in the team.
jurisdiction,n.,"관할권, 사법권",This case falls under federal jurisdiction.
jury,n.,배심원단,The jury found the defendant not guilty.
justice,n.,"정의, 공정",We fight for justice and equality.
justify,v.,정당화하다,Nothing can justify such violence.
keen,adj.,"열렬한, 예리한",He is a keen observer of human behavior.
kingdom,n.,왕국,Lions are known as the kings of the animal kingdom.
kit,n.,"도구 세트, 장비",He bought a repair kit for his bike.
label,"n., v.",라벨; 라벨을 붙이다,All boxes are labeled by date.
labor,"n., v.",노동; 일하다,Manual labor is still common in many regions.
laboratory,n.,실험실,She works in a chemistry laboratory.
lad,n.,"소년, 젊은이",The young lad helped carry the bags.
ladder,n.,사다리,He climbed up the ladder to fix the roof.
landlord,n.,"집주인, 지주",The landlord raised the rent this year.
landmark,n.,"랜드마크, 주요 지형물",The Eiffel Tower is a famous landmark.
landscape,n.,"풍경, 경치",The landscape here is breathtaking.
laptop,n.,노트북 컴퓨터,She bought a new laptop for work.
large-scale,adj.,대규모의,They launched a large-scale marketing campaign.
laser,n.,레이저,The surgery was performed using laser technology.
latest,"adj., n.",최신의; 최근 것,Check out the latest trends online.
launch,"v., n.",출시하다; 출시,The company launched its new product successfully.
lawmaker,n.,"입법자, 국회의원",Lawmakers debated the proposed bill.
layout,n.,"배치, 구성",The page layout was improved for readability.
leak,"v., n.",새다; 누출,Water leaked from the damaged pipe.
lean,"v., adj.",기울다; 호리호리한,He leaned against the wall to rest.
leap,"v., n.",뛰다; 도약,She leaped into the pool without hesitation.
learned,adj.,"박식한, 학식 있는",He is a learned professor in linguistics.
learner,n.,"학습자, 초보자",Language learners benefit from daily practice.
legendary,adj.,"전설적인, 매우 유명한",He is a legendary figure in basketball.
legislation,n.,"법률, 입법",New legislation was introduced to protect the environment.
legislative,adj.,입법의,The legislative branch makes the laws.
legislator,n.,입법자,The legislators approved the reform bill.
legitimate,adj.,"합법적인, 정당한",They have a legitimate right to appeal.
lengthy,adj.,"긴, 장황한",The meeting turned into a lengthy debate.
lesbian,"adj., n.",레즈비언의; 레즈비언,She identifies as a lesbian.
liable,adj.,책임이 있는,The company is liable for damages.
liberal,"adj., n.",자유주의의; 자유주의자,He holds liberal views on education.
liberty,n.,자유,Freedom of speech is a fundamental liberty.
license,"n., v.","면허, 허가; 허가하다",You need a license to drive a car.
likelihood,n.,"가능성, 확률",There’s a strong likelihood of rain tomorrow.
likewise,adv.,마찬가지로,"She thanked him, and he smiled likewise."
limitation,n.,"제한, 한계",Every system has its limitations.
linear,adj.,"직선의, 순차적인",A linear process is easy to follow.
linguistic,adj.,"언어의, 언어학의",He specializes in linguistic analysis.
literally,adv.,"문자 그대로, 정말로",She was literally shaking with excitement.
literary,adj.,문학의,She is a literary critic and novelist.
literature,n.,"문학, 문헌",He teaches English literature at university.
litter,"n., v.",쓰레기; 어지르다,Don’t litter in public parks.
lively,adj.,"활기찬, 생기 있는",The lively crowd cheered loudly.
liver,n.,간,Drinking too much alcohol can damage your liver.
load,"v., n.",싣다; 짐,They loaded the truck with furniture.
loan,n.,"대출, 빚",He took out a loan to buy a car.
lobby,"n., v.",로비; 로비하다,Environmental groups are lobbying for new laws.
log,"n., v.",통나무; 기록하다,The technician logged the error in the system.
logic,n.,"논리, 이치",Her argument lacks logic.
logical,adj.,논리적인,That’s a logical conclusion based on the data.
logo,n.,로고,The company updated its logo last year.
long-term,adj.,장기적인,Long-term investment requires patience.
loop,"n., v.",고리; 반복하다,The code runs in a continuous loop.
loyal,adj.,"충성스러운, 성실한",She has been a loyal employee for years.
loyalty,n.,"충성심, 충실",Customer loyalty is vital for business success.
luxury,"n., adj.","사치, 호화; 사치스러운",They stayed in a luxury hotel by the beach.
lyric,n.,"가사, 노래말",The lyrics of the song are very meaningful.
machinery,n.,"기계류, 기계장치",The factory invested in new machinery.
magical,adj.,"마법의, 황홀한",The sunset created a magical atmosphere.
magnificent,adj.,"장엄한, 훌륭한",They enjoyed the magnificent view from the mountain.
mainland,n.,본토,They moved from the island to the mainland.
mainstream,"n., adj.",주류; 주류의,The film appealed to mainstream audiences.
maintain,v.,유지하다,The car is difficult to maintain.
maintenance,n.,"유지, 보수",Regular maintenance keeps the machine running smoothly.
majority,n.,"대다수, 과반수",The majority of voters supported the proposal.
makeup,n.,"화장품, 구성",She never leaves home without makeup.
mandatory,adj.,의무적인,Wearing seatbelts is mandatory.
manipulate,v.,"조종하다, 조작하다",He manipulated the data to support his argument.
manufacture,"v., n.",제조하다; 제조업,The company manufactures electronic devices.
manuscript,n.,"원고, 필사본",The author submitted his manuscript to the publisher.
margin,n.,"여백, 이익",The profit margin increased last quarter.
marginal,adj.,"미미한, 주변의",The change had only a marginal effect.
