entry,part_of_speech,korean_meaning,example_sentence
marine,"adj., n.",해양의; 해병,Marine life is threatened by pollution.
marketer,n.,"마케터, 시장전문가",Digital marketers use data analytics to target customers.
marketing,n.,마케팅,Effective marketing boosts product sales.
marketplace,n.,"시장, 장터",They sell their crafts in the local marketplace.
marvel,"v., n.",감탄하다; 경이로움,Tourists marveled at the ancient temple.
mask,"v., n.",가리다; 가면,He masked his sadness with a smile.
massive,adj.,"거대한, 대규모의",A massive storm hit the coast.
masterpiece,n.,"걸작, 명작",The painting is considered a masterpiece of the century.
match,"v., n.",일치하다; 경기,The curtains don’t match the wallpaper.
mate,"n., v.","친구, 짝; 짝짓기하다",Birds usually mate during spring.
mature,"adj., v.",성숙한; 성숙하다,He became more mature after the experience.
maturity,n.,"성숙, 만기",Emotional maturity is key to leadership.
maximize,v.,최대화하다,We need to maximize efficiency in production.
meaningful,adj.,의미 있는,Their discussion was deep and meaningful.
mechanic,n.,정비사,The mechanic fixed the car’s engine.
mechanical,adj.,"기계의, 자동적인",He has a mechanical understanding of how engines work.
mechanism,n.,"기계 장치, 구조",This locking mechanism is very secure.
medal,n.,"메달, 훈장",She won a gold medal in the competition.
media,n.,"미디어, 매체",The story spread quickly through the media.
medieval,adj.,중세의,The castle dates back to medieval times.
meditation,n.,"명상, 숙고",Meditation helps reduce stress and anxiety.
melody,n.,"선율, 멜로디",The melody is simple but beautiful.
membership,n.,"회원 자격, 회원제",Membership to the club is free this month.
mentor,"n., v.","멘토, 조언자; 지도하다",She became a mentor to younger students.
merchant,n.,"상인, 무역상",The merchant sold spices and fabrics.
mercy,n.,"자비, 관용",He showed mercy to his enemies.
mere,adj.,"단지, 겨우",It’s a mere coincidence that they met again.
merely,adv.,"그저, 단순히",He’s merely a beginner in coding.
merge,v.,"합병하다, 병합하다",The two companies decided to merge.
merit,n.,"장점, 공로","Admission is based on merit, not wealth."
mess,n.,"엉망, 혼란",Your room is a mess again.
metallic,adj.,"금속의, 금속성의",The car has a metallic blue finish.
metaphor,n.,"은유, 비유",The poem uses water as a metaphor for life.
methodology,n.,방법론,The research methodology was clearly defined.
migration,n.,"이주, 이동",Bird migration occurs every winter.
militant,"adj., n.",전투적인; 투사,Militant groups continue to cause unrest.
military,"adj., n.",군사의; 군대,He served in the military for two years.
mill,n.,"공장, 제분소",The paper mill employs over 300 workers.
miner,n.,광부,Coal miners work in difficult conditions.
minimal,adj.,"최소의, 아주 적은",The risks involved are minimal.
minimize,v.,최소화하다,We must minimize waste during production.
mining,n.,"채굴, 광업",Mining is one of the country’s main industries.
minister,n.,"장관, 목사",The finance minister announced new policies.
ministry,n.,"부, 성직",The Ministry of Education approved the curriculum.
minority,n.,"소수, 소수집단",The law protects the rights of minorities.
miracle,n.,기적,Her recovery from illness was a miracle.
misery,n.,"비참, 고통",They lived in poverty and misery.
misleading,adj.,오해의 소지가 있는,The advertisement was false and misleading.
missing,adj.,"누락된, 실종된",Several pages were missing from the report.
missionary,"n., adj.",선교사; 선교의,The missionary worked in Africa for ten years.
mob,"n., v.",군중; 떼를 지어 몰려들다,A mob of fans surrounded the actor.
mobilize,v.,"동원하다, 집결시키다",The government mobilized troops to restore order.
mode,n.,"방식, 양식",The device has several operating modes.
moderate,"adj., v.","적당한, 완화하다",She has moderate views on politics.
moderator,n.,"사회자, 중재자",The moderator introduced the speakers.
modernization,n.,현대화,Modernization improved the city’s infrastructure.
modest,adj.,"겸손한, 보통의",She gave a modest response to the praise.
modify,v.,"수정하다, 변경하다",You can modify the design if needed.
module,n.,"모듈, 단위",Each module in the course covers a new topic.
moisture,n.,"습기, 수분",There’s too much moisture in the air today.
momentum,n.,"탄력, 추진력",The team gained momentum after the first win.
monarch,n.,"군주, 왕",The monarch addressed the nation on TV.
monetary,adj.,"금융의, 화폐의",The central bank controls monetary policy.
monk,n.,"수도사, 승려",The monk prayed quietly in the temple.
monster,n.,괴물,The story is about a friendly monster.
monthly,"adj., adv.","월간의, 매월",The company publishes a monthly report.
monument,n.,"기념비, 기념물",They visited a war monument downtown.
moral,"adj., n.",도덕적인; 교훈,The story has an important moral lesson.
morality,n.,"도덕성, 윤리",Society depends on shared morality.
moreover,adv.,게다가,The plan is too expensive and moreover unrealistic.
mortgage,n.,"담보 대출, 주택 융자",They applied for a mortgage to buy a house.
mosque,n.,"모스크, 회교 사원",They visited the largest mosque in the city.
motion,"n., v.",움직임; 몸짓하다,He motioned for her to come closer.
motivate,v.,동기를 부여하다,Teachers should motivate students to learn.
motivation,n.,"동기, 자극",Her main motivation is helping others.
motive,n.,"동기, 이유",The police are still investigating the motive.
municipal,adj.,"지방 자치의, 시의",The municipal government manages waste collection.
mutual,adj.,"상호의, 공동의",They have mutual respect for each other.
myth,n.,"신화, 잘못된 믿음",The myth of Hercules is well known.
naked,adj.,"벌거벗은, 노출된",He ran out into the street almost naked.
narrative,"n., adj.","이야기, 서사; 이야기의",The novel follows a complex narrative structure.
narrow,"v., adj.",좁히다; 좁은,The road narrows near the bridge.
nasty,adj.,"불쾌한, 심술궂은",He made a nasty comment about her dress.
nationwide,"adj., adv.","전국적인, 전국적으로",The campaign gained nationwide support.
naval,adj.,해군의,He served as a naval officer for five years.
navigation,n.,"항해, 길찾기",GPS makes car navigation much easier.
nearby,"adj., adv.","가까운, 근처에",There’s a café nearby.
necessity,n.,"필요, 필수품",Water is a basic necessity of life.
negative,"adj., n.",부정적인; 음수,She has a negative attitude toward change.
negotiate,v.,협상하다,They negotiated better terms for the contract.
negotiation,n.,"협상, 교섭",The peace negotiations lasted for weeks.
neighboring,adj.,"이웃의, 인접한",They came from a neighboring village.
nerve,n.,"신경, 용기",It takes nerve to speak in public.
neutral,adj.,"중립의, 중간의",Switzerland remained neutral during the war.
niche,n.,"틈새시장, 적소",They found a profitable niche in the market.
noble,"adj., n.",고귀한; 귀족,He was born into a noble family.
nominate,v.,"지명하다, 추천하다",She was nominated for the Best Actress award.
nomination,n.,"지명, 추천",The movie received three Oscar nominations.
nominee,n.,"후보자, 지명된 사람",The nominee delivered a short speech of gratitude.
nonprofit,"adj., n.",비영리의; 비영리단체,The nonprofit organization helps homeless people.
nonsense,n.,"터무니없는 말, 허튼소리",That rumor is complete nonsense.
norm,n.,"규범, 표준",Social norms differ across cultures.
notable,adj.,"주목할 만한, 유명한",She made a notable contribution to science.
notably,adv.,"특히, 두드러지게",The policy was supported notably by young voters.
notify,v.,"통보하다, 알리다",Please notify us of any changes in your schedule.
notion,n.,"개념, 생각",He had a romantic notion about country life.
noun,n.,명사,"In this sentence, 'book' is a noun."
novel,"adj., n.",새로운; 소설,She came up with a novel idea for the project.
nowadays,adv.,"요즘, 현재",People rely on smartphones more nowadays.
numerous,adj.,수많은,Numerous studies show the benefits of exercise.
nursing,n.,"간호, 수유",She is studying nursing at university.
obey,v.,"복종하다, 따르다",You must obey the traffic rules.
object,"v., n.",반대하다; 물체,He objected to the unfair decision.
objective,"adj., n.",객관적인; 목표,We must remain objective in our analysis.
obligation,n.,"의무, 책무",Parents have an obligation to protect their children.
oblige,v.,"의무를 지우다, 돕다",They were obliged to cancel the trip.
obscure,"adj., v.",모호한; 숨기다,The meaning of the poem is obscure.
observation,n.,"관찰, 논평",Careful observation helps scientists draw conclusions.
observer,n.,"관찰자, 참관인",The event was witnessed by several observers.
obsess,v.,집착하다,He’s obsessed with keeping his desk tidy.
obstacle,n.,"장애물, 방해",Fear can be a major obstacle to success.
occasional,adj.,가끔의,He makes occasional visits to his hometown.
occupation,n.,"직업, 점령",Teaching is a respected occupation.
occupy,v.,"차지하다, 점유하다",They occupy the top floor of the building.
occurrence,n.,"발생, 사건",Flooding is a common occurrence in this region.
offense,n.,"범죄, 위반",He committed a serious offense.
offensive,adj.,"모욕적인, 불쾌한",His remarks were deeply offensive.
offspring,n.,"자손, 새끼",Lions protect their offspring fiercely.
ongoing,adj.,계속 진행 중인,The ongoing project will end next month.
onset,n.,"시작, 발병",The onset of winter came earlier this year.
operational,adj.,"작동 가능한, 운영의",The system will be fully operational tomorrow.
operator,n.,"운영자, 조작자",The machine operator must be well-trained.
optimism,n.,낙관주의,His optimism inspires everyone around him.
optimistic,adj.,낙관적인,She is optimistic about her career prospects.
optimize,v.,최적화하다,We need to optimize the code for better performance.
optional,adj.,선택적인,Attendance at the meeting is optional.
oral,adj.,"구두의, 구술의",She gave an oral report in class.
organ,n.,"기관, 오르간",The heart is a vital organ.
organism,n.,"유기체, 생물",Each organism adapts to its environment.
organizational,adj.,"조직의, 조직적인",Organizational change requires time and effort.
orientation,n.,"방향, 오리엔테이션",New employees attend a two-day orientation.
originate,v.,"유래하다, 시작되다",The idea originated from a student project.
outbreak,n.,"발생, 발발",There was an outbreak of flu in the city.
outcome,n.,"결과, 성과",The outcome of the experiment was unexpected.
outdoor,adj.,"야외의, 옥외의",They enjoy outdoor activities like hiking.
outfit,n.,"복장, 옷차림",She wore a stylish outfit to the party.
outing,n.,"소풍, 야유회",They went on a weekend outing to the countryside.
outlet,n.,"판매점, 배출구",The store is a popular fashion outlet.
outline,"n., v.",개요; 윤곽을 그리다,He outlined the main points in his speech.
outlook,n.,"전망, 견해",The economic outlook for next year is positive.
output,n.,"출력, 생산량",The factory increased its output by 20%.
outrage,"n., v.","분노, 격분; 격분시키다",The news caused public outrage.
outsider,n.,"외부인, 문외한",He felt like an outsider in his new school.
outstanding,adj.,"뛰어난, 눈에 띄는",She received an award for outstanding performance.
overcome,v.,극복하다,They overcame many difficulties to succeed.
overlook,v.,"간과하다, 내려다보다",He overlooked an important detail in the report.
overnight,"adv., adj.",하룻밤 사이에; 갑작스러운,Her song became an overnight hit.
oversee,v.,"감독하다, 관리하다",She oversees all marketing operations.
overturn,v.,"뒤집다, 전복시키다",The court overturned the previous ruling.
overwhelm,v.,"압도하다, 당황하게 하다",She was overwhelmed by the amount of work.
overwhelming,adj.,"압도적인, 엄청난",The support from fans was overwhelming.
ownership,n.,"소유, 소유권",He took full ownership of the mistake.
oxygen,n.,산소,Humans need oxygen to survive.
pace,"n., v.",속도; 보조를 맞추다,He walked at a steady pace.
painful,adj.,고통스러운,It was a painful experience for everyone.
painter,n.,"화가, 페인트공",The painter finished the portrait yesterday.
palace,n.,"궁전, 왕궁",The palace attracts millions of tourists each year.
pale,adj.,"창백한, 옅은",He looked pale after hearing the bad news.
panel,n.,"패널, 위원회",A panel of experts discussed climate policy.
panic,"n., v.",공황; 당황하다,People panicked when the alarm went off.
parade,"n., v.",퍼레이드; 행진하다,The team paraded through the streets after their victory.
parallel,"adj., n.",평행한; 유사한 것,Their experiences run parallel to each other.
parameter,n.,"매개변수, 기준",You need to adjust the model’s parameters.
participation,n.,"참여, 참가",Student participation is encouraged in class.
partly,adv.,부분적으로,The plan failed partly because of poor communication.
partnership,n.,"동업, 협력 관계",They formed a business partnership last year.
passionate,adj.,열정적인,She is passionate about environmental issues.
passive,adj.,"수동적인, 소극적인",He remained passive during the whole discussion.
pat,"v., n.",토닥이다; 가볍게 두드림,She patted the dog on its head.
patch,"n., v.","조각, 수선하다",He wore jeans with a patch on the knee.
patent,"n., adj.",특허; 특허의,The company applied for a new patent.
pathway,n.,"경로, 진로",This course provides a pathway to university.
patience,n.,"인내심, 참을성",He waited with remarkable patience.
pause,"v., n.",잠시 멈추다; 중단,She paused to take a deep breath before speaking.
pavement,n.,"보도, 인도",Don’t ride your bike on the pavement.
peak,"n., v.","정점, 최고조; 절정에 이르다",Tourist numbers peaked in August.
peasant,n.,"소작농, 농민",Many peasants worked on the land owned by nobles.
peculiar,adj.,"이상한, 독특한",He has a peculiar way of speaking.
peer,"n., v.",동료; 유심히 보다,She is well respected among her peers.
penalty,n.,"벌금, 처벌",He paid a penalty for breaking the contract.
perceive,v.,"인지하다, 감지하다",I perceived a hint of sadness in her voice.
perception,n.,"지각, 인식",Public perception of the brand has improved.
permanent,adj.,"영구적인, 지속적인",She got a permanent job after the internship.
persist,v.,"지속하다, 고집하다",He persisted despite the difficulties.
persistence,n.,"끈기, 지속",Her persistence finally paid off.
personnel,n.,"인사, 직원",The company is hiring new personnel.
perspective,n.,"관점, 시각","From a different perspective, the issue seems simpler."
persuade,v.,설득하다,He persuaded her to join the team.
phenomenon,n.,"현상, 사건",Global warming is a complex phenomenon.
philosopher,n.,철학자,Socrates is a famous ancient philosopher.
philosophical,adj.,"철학적인, 이성적인",She gave a philosophical explanation of happiness.
philosophy,n.,"철학, 인생관",His philosophy of life is based on simplicity.
physician,n.,의사,You should consult a physician for medical advice.
pill,n.,알약,She took a pill for her headache.
pioneer,"n., v.",개척자; 개척하다,He pioneered new techniques in surgery.
pipeline,n.,"송유관, 공급 경로",A new pipeline will transport gas to the city.
pirate,"n., v.",해적; 불법 복제하다,The movie was illegally pirated online.
pit,"n., v.",구덩이; 싸우게 하다,They dug a pit for the campfire.
pity,"n., v.","동정, 유감; 불쌍히 여기다",It’s a pity you couldn’t come with us.
placement,n.,"배치, 취업",The university offers job placement services.
plea,n.,"탄원, 간청",He made a plea for peace in the region.
plead,v.,"간청하다, 탄원하다",She pleaded with him to stay.
pleasure,n.,"즐거움, 기쁨",Reading is one of my greatest pleasures.
plot,"n., v.","줄거리, 음모; 계획하다",The movie’s plot was full of twists.
plug,"n., v.",플러그; 막다,He plugged his phone charger into the wall.
plunge,"v., n.",급락하다; 급락,Stock prices plunged after the announcement.
pole,n.,"기둥, 장대",The flag was raised on a tall pole.
poll,"n., v.",여론 조사; 투표하다,The latest polls show rising approval ratings.
pollution,n.,"오염, 공해",Air pollution is a major urban problem.
pond,n.,연못,Frogs were jumping around the pond.
popularity,n.,"인기, 대중성",His popularity has increased since the TV show.
portfolio,n.,"포트폴리오, 서류 가방",She presented her design portfolio during the interview.
portion,n.,"부분, 1인분",She ate only a small portion of the meal.
portrait,n.,"초상화, 인물사진",The artist painted a portrait of the king.
portray,v.,"묘사하다, 표현하다",The actor portrayed a brave soldier.
possess,v.,"소유하다, 지니다",He possesses great leadership skills.
possession,n.,"소유, 소지품",All his possessions were lost in the fire.
postpone,v.,연기하다,The meeting was postponed until next week.
potentially,adv.,잠재적으로,The plan could potentially save millions of dollars.
practitioner,n.,전문직 종사자,He’s a medical practitioner at a local clinic.
praise,"v., n.",칭찬하다; 칭찬,She was praised for her dedication.
precede,v.,"앞서다, 선행하다",The speech preceded the award ceremony.
precious,adj.,"귀중한, 소중한",Family is the most precious thing in life.
precise,adj.,"정확한, 정밀한",She gave a precise description of the process.
precision,n.,"정확성, 정밀",The machine operates with high precision.
predictable,adj.,예측 가능한,The ending of the movie was too predictable.
preference,n.,"선호, 기호",He has a preference for spicy food.
pregnancy,n.,임신,She announced her pregnancy to her family.
prejudice,"n., v.",편견; 편견을 가지게 하다,We must fight against racial prejudice.
premise,n.,"전제, 가정",The argument is based on a false premise.
premium,"n., adj.","보험료, 고급의",Premium members get free shipping.
prescription,n.,"처방전, 규정",You need a doctor’s prescription for this drug.
presentation,n.,"발표, 제시",Her presentation impressed the entire board.
preserve,"v., n.",보존하다; 잼,We must preserve natural habitats.
presumably,adv.,"아마도, 짐작컨대","Presumably, he will join us later."
presume,v.,"추정하다, 가정하다",I presume you’ve already seen the report.
prevail,v.,"우세하다, 만연하다",Justice will prevail in the end.
prevention,n.,"예방, 방지",Exercise plays a key role in disease prevention.
previously,adv.,이전에,She had previously worked as a nurse.
pride,"n., v.",자부심; 자랑스러워하다,He takes pride in his achievements.
priest,n.,"성직자, 신부",The priest led the morning mass.
primarily,adv.,"주로, 근본적으로",The program is primarily for young students.
principal,"n., adj.","교장, 주요한; 주요한",The school principal welcomed new students.
principle,n.,"원리, 원칙",He always acts according to his principles.
print,"v., n.",인쇄하다; 인쇄물,The report was printed on recycled paper.
privacy,n.,"사생활, 개인 정보",Online privacy is a growing concern.
privilege,n.,"특권, 혜택","Education is a privilege, not a right for everyone."
probability,n.,"확률, 가능성",The probability of rain is 60%.
probe,"v., n.","탐사하다, 조사; 탐침",The robot will probe the surface of Mars.
procedure,n.,"절차, 수술",The visa application procedure is simple.
proceed,v.,"진행하다, 나아가다",We can proceed once everyone agrees.
processing,n.,"처리, 가공",Data processing requires powerful computers.
processor,n.,"프로세서, 처리기",The new phone has a faster processor.
productive,adj.,"생산적인, 효율적인",The meeting was very productive.
profession,n.,"직업, 전문직",Medicine is a respected profession.
professional,"adj., n.",전문적인; 전문가,He gave a professional presentation.
profound,adj.,"심오한, 깊은",Her speech had a profound impact on the audience.
progressive,adj.,"진보적인, 점진적인",They support progressive social reforms.
prohibit,v.,금지하다,Smoking is prohibited inside the building.
projection,n.,"예상, 투영",Sales projections show steady growth.
prominent,adj.,"두드러진, 저명한",She is a prominent figure in the art world.
promising,adj.,"유망한, 기대되는",He’s a promising young scientist.
promote,v.,"촉진하다, 승진시키다",The campaign promotes healthy eating.
promotion,n.,"승진, 홍보",She received a promotion to manager.
prompt,"adj., v.",즉각적인; 유도하다,He responded with a prompt answer.
pronounced,adj.,"뚜렷한, 명확한",He has a pronounced British accent.
proof,n.,"증거, 입증",There’s no proof that he committed the crime.
propaganda,n.,"선전, 정치적 홍보",The regime used propaganda to control the people.
proportion,n.,"비율, 부분",A large proportion of students passed the exam.
proposal,n.,"제안, 청혼",His marriage proposal surprised everyone.
prosecute,v.,"기소하다, 고소하다",They decided to prosecute the company for fraud.
prosecution,n.,"기소, 검찰",The prosecution presented new evidence.
prospective,adj.,"예상되는, 장래의",They interviewed several prospective employees.
prosperity,n.,"번영, 번성",Economic prosperity benefits everyone.
protective,adj.,"보호하는, 방어적인",She wore protective gear while working.
protein,n.,단백질,Eggs are a good source of protein.
protester,n.,"시위자, 항의자",Protesters gathered in front of city hall.
province,n.,"주, 지방",He was born in a small province near the coast.
provision,n.,"공급, 조항",The contract includes a provision for early termination.
psychological,adj.,심리적인,Stress can have serious psychological effects.
psychologist,n.,심리학자,She works as a clinical psychologist.
publication,n.,"출판, 발행물",The research findings were accepted for publication.
publicity,n.,"홍보, 주목",The event received widespread publicity.
publisher,n.,"출판사, 발행인",The publisher released the new novel in March.
pulse,n.,"맥박, 진동",Her pulse was strong and steady.
pump,"v., n.",펌프질하다; 펌프,They pumped water from the well.
punch,"v., n.",주먹으로 치다; 펀치,He punched the wall in frustration.
punish,v.,"벌하다, 처벌하다",The teacher doesn’t punish mistakes harshly.
punishment,n.,"벌, 처벌",Severe punishment was given for cheating.
pupil,n.,"학생, 동공",The pupils are learning about fractions.
purchase,"v., n.",구입하다; 구매,She purchased a new phone yesterday.
purely,adv.,"순전히, 전적으로",The decision was made purely for safety reasons.
pursuit,n.,"추구, 추격",He dedicated his life to the pursuit of knowledge.
puzzle,"n., v.",수수께끼; 혼란스럽게 하다,This puzzle is too difficult for a child.
qualification,n.,"자격, 조건",She has the qualifications for the position.
qualified,adj.,"자격 있는, 적격의",He is highly qualified for the role.
qualitative,adj.,정성적인,We conducted a qualitative study on consumer behavior.
quantity,n.,"양, 수량",Please check the quantity before delivery.
racial,adj.,"인종의, 인종 간의",They condemned racial discrimination.
racism,n.,인종차별,Racism remains a problem in many societies.
radar,n.,레이더,The aircraft disappeared from the radar.
radiation,n.,"방사선, 복사",Too much radiation exposure can be dangerous.
radical,"adj., n.",급진적인; 급진주의자,They proposed radical changes to the system.
rage,"n., v.",분노; 분노하다,He was filled with rage after the insult.
raid,"n., v.","급습, 침입; 급습하다",The police raided the warehouse.
rail,"n., v.","철도, 난간; 욕하다",The goods were transported by rail.
random,adj.,무작위의,The winners were chosen at random.
rank,"n., v.","계급, 순위; 매기다",He holds the rank of captain in the army.
rape,"n., v.",강간; 강간하다,The suspect was charged with rape.
rapid,adj.,"빠른, 신속한",The patient’s recovery was rapid.
rarely,adv.,"드물게, 거의 ~않다",She rarely eats out these days.
rational,adj.,"이성적인, 합리적인",We need a rational solution to the problem.
raw,adj.,"날것의, 가공되지 않은",You shouldn’t eat raw meat.
readily,adv.,"쉽게, 기꺼이",Information is readily available online.
realistic,adj.,"현실적인, 실질적인",We must set realistic goals.
realization,n.,"깨달음, 실현",He came to a sudden realization about his mistakes.
realm,n.,"영역, 왕국",Her influence extends beyond the realm of music.
rear,"n., v., adj.","뒤, 후방; 기르다; 뒤쪽의",There’s a garden at the rear of the house.
reasonably,adv.,"합리적으로, 꽤",The tickets were reasonably priced.
rebel,"n., v.",반역자; 반란을 일으키다,The rebels fought against the government.
rebellion,n.,"반란, 폭동",The rebellion was quickly suppressed.
rebuild,v.,"재건하다, 다시 세우다",They plan to rebuild the bridge after the flood.
recall,"v., n.",상기하다; 리콜,She can’t recall where she put her keys.
receiver,n.,"수신기, 수령인",The receiver of the package must sign here.
recession,n.,"불황, 경기침체",The economy is slowly recovering from the recession.
recipient,n.,"수신자, 수혜자",She was the recipient of a national award.
reckon,v.,"생각하다, 계산하다",I reckon it will rain tomorrow.
recognition,n.,"인식, 승인",He received international recognition for his work.
recovery,n.,"회복, 복구",Her recovery from surgery was remarkable.
recruit,"v., n.",모집하다; 신입사원,The company is recruiting new graduates.
recruitment,n.,"모집, 채용",Recruitment for the new project starts next month.
referee,n.,"심판, 중재자",The referee made a fair decision.
reference,n.,"참조, 언급",You can find the full reference list at the end.
reflection,n.,"반사, 숙고",She saw her reflection in the mirror.
reform,"n., v.",개혁; 개혁하다,Education reform is necessary for progress.
refresh,v.,"상쾌하게 하다, 새롭게 하다",A shower will refresh you after a long day.
refuge,n.,"피난처, 보호소",The hikers found refuge in a small cabin.
refugee,n.,난민,Thousands of refugees crossed the border.
refusal,n.,"거절, 거부",Her refusal surprised everyone in the room.
regain,v.,"되찾다, 회복하다",He regained his strength after the illness.
regardless,adv.,상관없이,The rule applies to everyone regardless of age.
regime,n.,"정권, 제도",The regime faced strong opposition from citizens.
regional,adj.,"지역의, 지방의",The regional office handles all western clients.
register,"v., n.",등록하다; 명부,You need to register before the event starts.
registration,n.,"등록, 신고",Course registration opens next Monday.
regret,"v., n.",후회하다; 후회,He deeply regrets his past mistakes.
regulate,v.,"규제하다, 조절하다",The new law will regulate online advertising.
regulation,n.,"규정, 규제",There are strict safety regulations in the lab.
rehabilitation,n.,"재활, 복원",He’s undergoing rehabilitation after the accident.
reinforce,v.,"강화하다, 보강하다",The bridge was reinforced with steel beams.
reject,v.,"거절하다, 기각하다",The proposal was rejected by the board.
rejection,n.,"거절, 기각",She felt hurt after the rejection of her idea.
relevant,adj.,"관련 있는, 적절한",Please include all relevant information in your report.
reliability,n.,"신뢰성, 확실성",The reliability of the data is being tested.
relieve,v.,"완화하다, 덜다",The medicine helps relieve pain.
relieved,adj.,안도한,She felt relieved when the exam was over.
reluctant,adj.,"마지못한, 꺼리는",He was reluctant to share his opinion.
remark,"n., v.","언급, 발언; 언급하다",His remarks offended many listeners.
remarkable,adj.,"주목할 만한, 놀라운",Her performance was truly remarkable.
remedy,"n., v.",치료법; 해결하다,Sleep is the best remedy for stress.
remind,v.,"상기시키다, 떠올리게 하다",Please remind me to call her tomorrow.
remote,adj.,"외딴, 원격의",They live in a remote mountain village.
removal,n.,"제거, 철거",The removal of old files freed up space.
render,v.,"제공하다, 만들다",The artist rendered the scene beautifully.
renew,v.,"갱신하다, 새롭게 하다",You must renew your passport before it expires.
rent,"v., n.",임대하다; 임대료,They rented a small apartment downtown.
replacement,n.,"대체, 교체",The replacement part arrived yesterday.
reportedly,adv.,"보도에 따르면, 전해진 바에 의하면",He was reportedly seen leaving the building.
representative,"n., adj.",대표자; 대표하는,Each team chose a representative.
republic,n.,공화국,France is a democratic republic.
reputation,n.,"평판, 명성",The restaurant has a great reputation for service.
rescue,"v., n.",구조하다; 구조,The firefighters rescued the trapped workers.
researcher,n.,"연구원, 조사자",The researchers published their findings in a journal.
resemble,v.,"닮다, 유사하다",She closely resembles her mother.
reservation,n.,"예약, 보류",Do you have a reservation for tonight?
residential,adj.,"주거의, 거주용의",They moved to a quiet residential area.
resign,v.,사직하다,He decided to resign from his position.
resignation,n.,"사직, 사표",Her resignation shocked the entire team.
resistance,n.,"저항, 반대",They met strong resistance from the community.
resolution,n.,"해결, 결의안",The UN passed a resolution on climate change.
resort,"n., v.",휴양지; 의지하다,They spent their honeymoon at a beach resort.
restore,v.,"복원하다, 회복시키다",The painting was carefully restored by experts.
restrict,v.,"제한하다, 금지하다",The policy restricts access to certain areas.
restriction,n.,"제한, 규제",There are restrictions on foreign ownership.
retain,v.,"유지하다, 보유하다",He retains control of the company.
retirement,n.,"은퇴, 퇴직",He enjoys his retirement by traveling abroad.
reveal,v.,"드러내다, 밝히다",The report revealed new information.
revenue,n.,"수익, 세입",The company’s annual revenue increased by 10%.
reverse,"v., adj.",뒤집다; 반대의,They reversed their decision after reviewing the facts.
reviewer,n.,"비평가, 검토자",The reviewer praised the author’s latest book.
revise,v.,"수정하다, 개정하다",Please revise the document before submission.
revision,n.,"수정, 개정",The textbook is under revision for next year.
revive,v.,"소생시키다, 부활시키다",The festival helped revive local traditions.
revolutionary,adj.,"혁명적인, 획기적인",The smartphone was a revolutionary invention.
